ID,Date,y,Hour,Temperature(�C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(�C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
-1.731599798344592,-3.8356808739286286,-0.6859736034171728,-1.6611805541040183,-1.5126236612461414,-1.0766948451232075,0.45487879068595377,0.8982874472368022,-1.6655613681732824,-0.6578875441503665,-0.12565706070918817,-0.14302784597986024,0.4471747731902793,-0.20849631306184815,0.21164927148982926
-1.7309984440128177,-3.8356808739286286,-0.7622804158931129,-1.5167300711384515,-1.5378290718915415,-1.0262920436220397,-0.8811288462937822,0.8982874472368022,-1.6655613681732824,-0.6578875441503665,-0.12565706070918817,-0.14302784597986024,0.4471747731902793,-0.20849631306184815,0.21164927148982926
-1.7303970896810432,-3.8356808739286286,-0.8095906396281958,-1.3722795881728846,-1.5798380896338753,-0.975889242120872,-0.6902706124395342,0.8982874472368022,-1.6732515569008641,-0.6578875441503665,-0.12565706070918817,-0.14302784597986024,0.4471747731902793,-0.20849631306184815,0.21164927148982926
-1.7297957353492688,-3.8356808739286286,-0.9103156320964367,-1.2278291052073178,-1.596641696730809,-0.9254864406197044,-0.7856997293666582,0.8982874472368022,-1.6655613681732824,-0.6578875441503665,-0.12565706070918817,-0.14302784597986024,0.4471747731902793,-0.20849631306184815,0.21164927148982926
-1.7291943810174943,-3.8356808739286286,-0.954573583332482,-1.083378622241751,-1.5798380896338753,-1.1270976466243752,0.5503079076130775,0.8982874472368022,-1.7424632554491017,-0.6578875441503665,-0.12565706070918817,-0.14302784597986024,0.4471747731902793,-0.20849631306184815,0.21164927148982926
-1.7285930266857197,-3.8356808739286286,-0.9209985858430683,-0.9389281392761842,-1.6134453038277425,-1.0766948451232075,-0.21312502780391432,0.8982874472368022,-1.7501534441766835,-0.6578875441503665,-0.12565706070918817,-0.14302784597986024,0.4471747731902793,-0.20849631306184815,0.21164927148982926
-1.7279916723539452,-3.8356808739286286,-0.7973815496320453,-0.7944776563106174,-1.6302489109246758,-1.1775004481255427,-0.4039832616581623,0.8982874472368022,-1.8116749539973391,-0.6578875441503665,-0.12565706070918817,-0.14302784597986024,0.4471747731902793,-0.20849631306184815,0.21164927148982926
-1.7273903180221708,-3.8356808739286286,-0.37158953601629957,-0.6500271733450507,-1.69746333931241,-1.0262920436220397,-0.7856997293666582,0.8982874472368022,-1.7962945765421752,-0.6578875441503665,-0.12565706070918817,-0.14302784597986024,0.4471747731902793,-0.20849631306184815,0.21164927148982926
-1.7267889636903964,-3.8356808739286286,0.3456945012575373,-0.5055766903794838,-1.7142669464093434,-1.0766948451232075,-0.5948414955124102,0.8982874472368022,-1.8347455201800849,-0.6463925379339244,-0.12565706070918817,-0.14302784597986024,0.4471747731902793,-0.20849631306184815,0.21164927148982926
-1.726187609358622,-3.8356808739286286,-0.32580544853073556,-0.36112620741391704,-1.621847107376209,-1.5807228601348842,-1.1674161970751542,0.7753953622291567,-2.034690427097215,-0.39350240117219704,-0.12565706070918817,-0.14302784597986024,0.4471747731902793,-0.20849631306184815,0.21164927148982926
-1.7255862550268475,-3.8356808739286286,-0.5562520222080747,-0.2166757244483502,-1.3697930009222066,-1.731931264638387,-0.4994123785852863,0.891460109180822,-1.9424081623662317,0.08928785991837332,-0.12565706070918817,-0.14302784597986024,0.4471747731902793,-0.20849631306184815,0.21164927148982926
