ID,y
5760,145.82149
5761,140.9003
5762,95.4125
5763,68.08473
5764,59.472412
5765,41.40335
5766,63.629436
5767,123.97979
5768,236.93324
5769,161.34811
5770,213.56836
5771,227.15648
5772,280.10565
5773,353.7731
5774,304.74857
5775,352.41992
5776,350.38055
5777,297.61438
5778,332.62463
5779,248.32314
5780,246.64528
5781,233.80193
5782,226.69612
5783,155.05318
5784,161.78111
5785,159.70483
5786,116.832596
5787,88.63527
5788,71.347855
5789,73.58716
5790,99.5608
5791,206.35286
5792,361.974
5793,290.1117
5794,229.37552
5795,240.92975
5796,303.03247
5797,331.162
5798,334.5443
5799,351.06607
5800,329.43924
5801,320.46982
5802,307.31476
5803,274.62524
5804,335.29697
5805,332.85214
5806,353.6835
5807,264.91275
5808,417.3634
5809,341.68912
5810,157.91487
5811,110.59476
5812,72.89351
5813,74.60383
5814,108.75707
5815,180.37675
5816,289.01083
5817,322.88705
5818,228.40717
5819,228.77086
5820,280.08682
5821,285.71832
5822,306.8582
5823,305.2006
5824,277.2091
5825,290.2128
5826,340.17252
5827,274.88892
5828,277.1855
5829,274.70563
5830,262.55066
5831,184.32272
5832,187.54208
5833,172.6117
5834,129.23659
5835,91.89408
5836,72.09397
5837,66.551285
5838,77.96791
5839,92.46959
5840,205.2451
5841,78.27009
5842,194.47493
5843,185.41902
5844,120.39603
5845,139.1079
5846,147.23553
5847,105.58401
5848,180.91928
5849,233.85786
5850,150.36197
5851,220.56602
5852,222.23546
5853,237.14554
5854,215.83344
5855,151.21797
5856,179.2306
5857,148.00172
5858,97.97477
5859,73.2723
5860,63.60215
5861,51.829838
5862,45.33254
5863,102.31002
5864,223.5844
5865,157.1661
5866,152.29959
5867,158.16026
5868,170.81346
5869,174.04956
5870,177.97511
5871,206.66238
5872,210.885
5873,225.34607
5874,259.72507
5875,205.76318
5876,181.79736
5877,170.17209
5878,169.20378
5879,123.587166
5880,174.80026
5881,158.08777
5882,118.04952
5883,85.17638
5884,75.519615
5885,77.34665
5886,137.76265
5887,259.8357
5888,380.53702
5889,262.9883
5890,234.22554
5891,240.9785
5892,248.08243
5893,237.14804
5894,247.738
5895,247.83691
5896,250.52887
5897,282.8351
5898,324.60507
5899,224.74788
5900,208.0161
5901,219.09013
5902,204.30074
5903,148.44963
5904,151.24355
5905,122.02744
5906,84.303276
5907,61.93274
5908,40.319107
5909,49.26744
5910,73.00496
5911,162.32272
5912,284.53067
5913,212.97137
5914,185.33397
5915,199.25514
5916,215.3027
5917,212.1594
5918,228.17891
5919,244.06882
5920,255.93619
5921,294.02505
5922,331.99814
5923,238.32274
5924,245.56898
5925,242.3063
5926,222.27965
5927,189.92421
5928,162.9321
5929,144.35757
5930,87.19622
5931,37.913986
5932,40.726276
5933,37.259083
5934,58.140396
5935,166.29216
5936,318.2878
5937,271.6321
5938,247.69305
5939,251.05833
5940,262.07748
5941,282.53006
5942,284.00806
5943,276.39236
5944,271.07214
5945,301.04852
5946,351.44604
5947,276.43912
5948,272.53232
5949,272.1185
5950,265.29587
5951,207.24127
5952,178.59137
5953,172.97075
5954,129.77708
5955,104.9842
5956,90.22133
5957,89.35632
5958,111.378975
5959,246.87814
5960,415.74298
5961,364.01633
5962,279.42645
5963,283.19257
5964,293.78583
5965,293.51495
5966,311.26352
5967,317.52228
5968,296.87817
5969,300.99954
5970,360.43182
5971,290.92825
5972,277.18964
5973,267.21387
5974,265.26147
5975,185.10396
5976,182.06317
5977,176.9401
5978,141.03189
5979,114.63194
5980,90.86864
5981,89.6462
5982,140.47894
5983,225.9974
5984,385.5857
5985,264.15088
5986,258.88727
5987,256.90982
5988,268.59467
5989,278.94272
5990,274.8444
5991,274.76477
5992,274.65118
5993,301.03452
5994,293.43286
5995,236.64354
5996,230.96765
5997,223.27667
5998,230.34163
5999,187.89291
6000,170.01808
6001,220.39127
6002,96.177414
6003,40.85658
6004,59.133835
6005,62.0236
6006,83.451385
6007,142.10887
6008,253.65077
6009,163.0837
6010,183.21404
6011,198.64023
6012,206.96417
6013,270.07382
6014,278.31973
6015,291.56866
6016,296.75848
6017,284.72122
6018,282.44232
6019,210.0309
6020,194.6225
6021,187.6595
6022,183.3999
6023,144.49374
6024,178.17345
6025,173.59589
6026,138.97656
6027,100.88939
6028,81.840744
6029,73.978455
6030,84.432526
6031,229.74017
6032,390.5414
6033,280.4747
6034,245.96121
6035,272.2357
6036,321.68365
6037,349.20667
6038,389.48157
6039,385.91528
6040,384.95755
6041,409.0892
6042,572.4755
6043,311.71692
6044,300.14697
6045,282.9101
6046,276.65176
6047,219.91092
6048,119.602776
6049,123.84228
6050,110.7215
6051,88.377625
6052,76.946304
6053,74.555695
6054,98.89911
6055,221.29022
6056,358.0951
6057,274.82025
6058,284.31488
6059,341.5164
6060,350.4458
6061,356.1832
6062,275.50955
6063,289.2263
6064,253.53542
6065,239.6579
6066,153.16667
6067,200.90845
6068,190.76152
6069,197.74648
6070,207.51306
6071,125.240616
6072,137.43294
6073,126.49434
6074,58.526882
6075,21.02289
6076,12.599813
6077,22.410358
6078,38.248936
6079,149.37599
6080,274.2759
6081,186.96118
6082,180.3185
6083,177.16054
6084,184.26447
6085,185.94962
6086,191.50539
6087,194.2558
6088,198.71646
6089,235.90982
6090,304.93008
6091,190.51547
6092,161.6964
6093,156.61507
6094,236.81343
6095,184.74092
6096,112.13678
6097,46.751354
6098,19.39619
6099,20.772087
6100,-7.698882
6101,5.2418823
6102,28.598608
6103,136.00026
6104,246.21132
6105,176.82266
6106,120.81081
6107,182.26605
6108,181.4239
6109,180.97374
6110,188.90202
6111,188.52245
6112,195.95274
6113,231.71257
6114,310.2456
6115,211.29535
6116,199.11168
6117,269.85342
6118,233.31662
6119,182.39462
